name,gender
murtibai,F
bulbul,F
mahfooj,M
bhawana,F
geernish,M
asish,M
sawarmal,M
farha,F
nandu,M
silender,M
imrana,F
lokindra,M
muqhtar,M
bhagwana,M
sudershan,M
sadiya,F
parven,M
shaymu,M
mubashir,M
wareesha,F
sanu,M
ashshwer,M
aamrin,F
samoti,F
baburam,M
sahanaj,F
gunja,F
asruddin,M
dhanni,F
susant,M
nanni,M
rabin,F
nazma,F
ketan,M
rishipal,M
preti,F
sawatri,F
mayuri,F
tamanna,F
ali,M
devkran,M
usha,F
niranjan,M
rajesh,M
saira,F
sarshwati,F
chhinderpal,M
asiya,F
aoosaf,M
rukhsar,M
lajja,F
mosim,M
satyanarayan,M
gulsher,M
nikhleshwar,M
biran,M
kalyan,M
sajma,F
mithelash,M
razida,F
sankar,M
soniya,F
kauva,M
tasleem,F
bhan,M
zeshan,M
gamer,M
girishchandra,F
chandni,F
kaishav,M
hitesh,M
ratn,M
premla,F
ravita,F
parvashi,F
surendr,M
tehmina,F
sosan,F
megh,M
nashim,M
hanny,M
saiyada,F
kaushalya,F
chander,F
gurdeep,F
lalita,F
samrin,F
na,F
mohabbat,M
dholi,F
amrita,F
feflibai,F
raisingh,M
baita,F
garv,M
mehraj,M
tepu,M
satvida,F
shahrish,F
vibhash,M
kalla,F
nathu,F
khairti,M
rajna,F
rajbala,F
rawi,F
nanagram,M
deepnarayan,M
manisha,F
pinky,F
ashwini,M
hajari,F
harshdeep,M
samsida,F
dheeraj,M
saruf,M
sujen,M
mum,M
subhapal,F
aysha,F
kamala,M
sharmila,F
archita,F
sinta,M
baldev,M
daljit,F
josin,M
yashoda,F
maman,M
shetal,F
laliya,M
sapana,F
vipta,M
mikel,M
khushbhu,F
miha,M
ojas,M
meghanath,M
sarmila,F
sumnesh,F
rencho,F
rita,F
japneet,F
brahmanand,M
ajaj,M
kamaldeep,M
geeta,F
sohaib,M
rajrani,F
sanjeev,F
rijwan,M
shahnaza,F
deepka,F
sarabjit,F
karuna,F
ronak,F
karmbir,M
jhunnu,F
omendra,M
noori,F
vishwjeet,M
anjali,F
jomiya,F
ranjan,F
rajo,F
mukhtyar,F
ariba,F
hera,M
tapas,M
sahajaha,M
nagina,F
farana,F
chhaterwati,F
madhwi,F
riya,F
anandwati,F
shun,F
dharamender,M
amritpal,M
satyender,M
groti,F
upendra,M
sanno,F
hazrat,M
kushi,F
maina,F
baleshwar,M
buddha,M
guldasta,F
nigar,F
kanisk,M
gurvinder,M
lawli,M
salmakhatun,F
doli,F
md,F
anuja,F
saku,F
maisan,M
kaval,M
jisu,M
babli,F
tikaram,M
parvin,F
pitika,F
chuni,F
pyar,M
rimmi,F
meethu,F
bhawari,F
vedehi,F
saurabh,M
sandhaya,M
parinka,F
sahbuddin,M
anita,F
sandeepa,F
harry,F
njare,M
samsudin,M
aashiya,F
rohil,M
neetu,M
rajia,F
kuwar,M
lakhya,F
shadhna,F
shukla,F
ishrana,F
raghuvir,M
shifali,F
aasa,F
inkoo,M
mahak,M
abhishekh,M
sikha,F
nasrudeen,M
saloni,F
ranjnika,F
lovely,M
gandharv,M
aasha,F
dvndavva,F
fahira,F
umedi,F
lal,F
trijugi,M
vinod,M
mansharam,M
sutiya,F
bhupesh,M
anjila,F
malvika,F
rubi,F
dhisa,M
sugar,M
girishi,M
shishul,M
nosar,F
kirann,F
revakshi,F
shakuna,F
marya,F
shahnawaz,M
chhotudevi,F
shiya,F
payal,F
leelawati,F
chtarpal,M
imran,M
laltes,F
sonu,M
golden,F
mayak,M
yaksh,M
shakuntala,F
darkash,F
puspender,M
sehzad,M
manvir,M
kamlajeet,F
aafrin,F
jesmin,F
sheenu,F
rakhi,M
man,F
shanty,F
omveer,M
ruksar,F
paratibha,M
razi,M
meela,F
piyari,F
samser,M
verendra,M
tikku,M
sabina,F
vyelet,F
midda,M
sagan,M
parsuram,M
koushik,M
shagufta,M
nanshi,F
omeshkumar,M
matbar,M
sandhya,F
raghu,M
jaskirat,M
masuma,F
pushpan,F
noojo,F
charan,M
bindu,M
hajrat,M
habib,M
nazima,F
gouri,F
janwi,M
shimpi,F
shakti,F
barham,M
dhrampla,M
mahboob,M
dildar,M
laldhari,M
fakiha,F
rukshan,M
avtar,M
golu,M
vedanand,M
dhalchand,M
aparna,F
anusoya,F
reeti,F
babloo,M
mohsina,F
vimukt,M
akram,F
jaga,M
amol,M
sheeak,M
munbura,F
malkiat,M
anil,F
shahruf,M
mo,M
daya,F
altab,M
rampher,M
nittin,M
pankaj,M
sehbaj,M
